iter	RMSE
0	4435.889424
1	4283.7722
2	4138.568592
3	4005.881816
4	3880.595447
5	3769.287222
6	3667.896589
7	3568.023516
8	3476.119835
9	3388.61119
10	3314.950659
11	3237.585772
12	3171.939078
13	3113.821568
14	3060.750673
15	3008.779746
16	2960.526453
17	2917.593318
18	2877.115897
19	2840.521442
20	2804.515351
21	2773.951106
22	2740.898882
23	2711.114213
24	2684.706671
25	2662.311611
26	2640.019909
27	2617.602473
28	2598.269493
29	2582.110795
30	2561.008707
31	2546.192233
32	2534.748815
33	2522.004438
34	2506.874145
35	2494.361166
36	2482.092896
37	2467.434889
38	2454.167308
39	2440.977683
40	2429.505907
41	2419.626437
42	2410.040719
43	2401.221096
44	2391.393588
45	2383.732976
46	2374.308557
47	2364.96113
48	2356.72907
49	2349.237126
50	2343.103112
51	2336.078541
52	2329.494379
53	2323.060303
54	2317.483673
55	2313.240099
56	2307.528496
57	2301.008483
58	2293.179155
59	2289.347141
60	2282.394118
61	2277.935222
62	2274.198764
63	2269.239313
64	2264.450743
65	2260.69112
66	2252.131574
67	2247.514241
68	2237.990662
69	2232.688829
70	2229.875717
71	2226.4672
72	2222.932476
73	2216.814663
74	2211.110314
75	2207.330409
76	2204.654284
77	2200.618466
78	2197.37289
79	2193.228017
80	2189.513709
81	2186.187462
82	2182.308752
83	2180.263649
84	2176.698555
85	2172.571981
86	2165.848571
87	2161.626689
88	2158.78702
89	2155.332791
90	2150.934273
91	2148.746706
92	2146.623059
93	2143.444771
94	2140.651844
95	2138.088812
96	2135.439971
97	2134.169229
98	2130.620189
99	2126.495861
100	2120.567149
101	2117.087331
102	2111.868952
103	2109.23836
104	2106.719464
105	2104.046169
106	2098.272298
107	2094.937668
108	2092.884315
109	2088.168997
110	2085.859254
111	2083.016068
112	2080.879184
113	2077.905996
114	2075.676657
115	2072.202883
116	2068.910618
117	2065.989526
118	2063.231668
119	2059.606401
120	2056.970868
121	2055.038668
122	2052.991198
123	2050.197968
124	2047.977823
125	2044.51659
126	2041.997564
127	2040.356536
128	2037.874418
129	2036.033718
130	2033.916749
131	2031.182326
132	2029.132307
133	2027.729332
134	2026.314279
